position,playername,teamname,kills,deaths,assists,total cs,league,weeklypoints,totalpoints
top,Clear,BNK FEARX,0,0,0,0,LCK,0,18.36
jng,Raptor,BNK FEARX,0,0,0,0,LCK,0,22.980000000000004
mid,VicLa,BNK FEARX,0,0,0,0,LCK,0,15.540000000000001
bot,Diable,BNK FEARX,0,0,0,0,LCK,0,30.16
sup,Kellin,BNK FEARX,0,0,0,0,LCK,0,22.01
top,DuDu,DN Freecs,0,0,0,0,LCK,0,30.75
jng,Pyosik,DN Freecs,0,0,0,0,LCK,0,28.76
mid,Pungyeon,DN Freecs,0,0,0,0,LCK,0,1.28
mid,BuLLDoG,DN Freecs,0,0,0,0,LCK,0,23.380000000000003
bot,Berserker,DN Freecs,0,0,0,0,LCK,0,31.87
sup,Life,DN Freecs,0,0,0,0,LCK,0,28.62
top,Rich,DRX,0,0,0,0,LCK,0,33.36
jng,Sponge,DRX,0,0,0,0,LCK,0,45.89999999999999
mid,Ucal,DRX,0,0,0,0,LCK,0,44.64999999999999
bot,LazyFeel,DRX,0,0,0,0,LCK,0,21.72
bot,Teddy,DRX,0,0,0,0,LCK,0,20.8
sup,Andil,DRX,0,0,0,0,LCK,0,37.24
top,Siwoo,Dplus KIA,0,0,0,0,LCK,0,44.33
jng,Lucid,Dplus KIA,0,0,0,0,LCK,0,55.54000000000001
mid,ShowMaker,Dplus KIA,0,0,0,0,LCK,0,50.53999999999999
bot,Aiming,Dplus KIA,0,0,0,0,LCK,0,53.33
sup,BeryL,Dplus KIA,0,0,0,0,LCK,0,45.54
top,Kiin,Gen.G,0,0,0,0,LCK,0,40.639999999999986
jng,Canyon,Gen.G,0,0,0,0,LCK,0,41.36
mid,Chovy,Gen.G,0,0,0,0,LCK,0,38.27
bot,Ruler,Gen.G,0,0,0,0,LCK,0,38.750000000000014
sup,Duro,Gen.G,0,0,0,0,LCK,0,39.169999999999995
top,Zeus,Hanwha Life Esports,0,0,0,0,LCK,0,54.150000000000006
jng,Peanut,Hanwha Life Esports,0,0,0,0,LCK,0,65.09999999999998
mid,Zeka,Hanwha Life Esports,0,0,0,0,LCK,0,58.86999999999999
bot,Viper,Hanwha Life Esports,0,0,0,0,LCK,0,76.32
sup,Delight,Hanwha Life Esports,0,0,0,0,LCK,0,65.16
top,PerfecT,KT Rolster,0,0,0,0,LCK,0,28.789999999999996
jng,Cuzz,KT Rolster,0,0,0,0,LCK,0,34.470000000000006
mid,Bdd,KT Rolster,0,0,0,0,LCK,0,32.230000000000004
bot,deokdam,KT Rolster,0,0,0,0,LCK,0,28.229999999999997
sup,Way,KT Rolster,0,0,0,0,LCK,0,31.179999999999993
top,Kingen,Nongshim RedForce,0,0,0,0,LCK,0,61.980000000000004
jng,GIDEON,Nongshim RedForce,0,0,0,0,LCK,0,70.12
mid,Fisher,Nongshim RedForce,0,0,0,0,LCK,0,55.28999999999999
bot,Jiwoo,Nongshim RedForce,0,0,0,0,LCK,0,63.67
sup,Lehends,Nongshim RedForce,0,0,0,0,LCK,0,61.61999999999999
top,Morgan,OKSavingsBank BRION,0,0,0,0,LCK,0,4033.11
jng,HamBak,OKSavingsBank BRION,0,0,0,0,LCK,0,30.29
mid,Clozer,OKSavingsBank BRION,0,0,0,0,LCK,0,32.650000000000006
bot,Hype,OKSavingsBank BRION,0,0,0,0,LCK,0,32.47
bot,Bull,OKSavingsBank BRION,0,0,0,0,LCK,0,4.6899999999999995
sup,Pollu,OKSavingsBank BRION,0,0,0,0,LCK,0,34.440000000000005
top,Doran,T1,0,0,0,0,LCK,0,43.08
jng,Oner,T1,0,0,0,0,LCK,0,59.589999999999996
mid,Faker,T1,0,0,0,0,LCK,0,35.37
bot,Gumayusi,T1,0,0,0,0,LCK,0,13.709999999999999
bot,Smash,T1,0,0,0,0,LCK,0,49.94
sup,Keria,T1,0,0,0,0,LCK,0,58.32
